Name,Author,Teleport Command,Notes,Category,Entry Type
[OLD] Night's Private Shulker,Nightsoft,/tp @s -13.5 51 -35.5 0 0,,PvP,Kit
_Plasmaflux's OP Pvp Kit,_Plasmaflux,/tp @s -14.5 51 -35.5 0 0,,PvP,Kit
_ShyGuy_s OP Kit,_ShuGuy_,/tp @s -15.5 51 -35.5 0 0,,PvP,Kit
_VoidShade_s Anti-Newfag-Kit,_VoidShade_,/tp @s -16.5 51 -35.5 0 0,,PvP,Kit
1.8 PvP,Yurni,/tp @s -17.5 51 -35.5 0 0,,PvP,Kit
1 Kit,Unknown Author,/tp @s -18.5 51 -35.5 0 0,,PvP,Kit
2 BILLION ARMOR,Unknown Author,/tp @s -19.5 51 -35.5 0 0,,PvP,Kit
2koy's Box of Ultimate Abilities v1.4.2,2koy,/tp @s -20.5 51 -35.5 0 0,,PvP,Kit
2koy's Box of Ultimate Abilities v1.4.3,2koy,/tp @s -21.5 51 -35.5 0 0,,PvP,Kit
2koy's Box of Ultimate Abilities v1.4,2koy,/tp @s -22.5 51 -35.5 0 0,,PvP,Kit
32k Wide Kit,Unknown Author,/tp @s -23.5 51 -35.5 0 0,,PvP,Kit
0800 Hybrid,0800_Hybrid,/tp @s -24.5 51 -35.5 0 0,,PvP,Kit
AdminKit,Unknown Author,/tp @s -25.5 51 -35.5 0 0,,PvP,Kit
AFK Kit,Unknown Author,/tp @s -26.5 51 -35.5 0 0,,PvP,Kit
a FUCKING kit,Unknown Author,/tp @s -27.5 51 -35.5 0 0,,PvP,Kit
Airobotics_ Everything Kit,Airobotics_,/tp @s -28.5 51 -35.5 0 0,,PvP,Kit
Aleph 0,CorruptedChromium,/tp @s -29.5 51 -35.5 0 0,Archivist Pick,PvP,Kit
Alpha Kit of 1.16+,AUCreator,/tp @s -30.5 51 -35.5 0 0,,PvP,Kit
AMOGUS KIT,Unknown Author,/tp @s -13.5 49 -35.5 0 0,,PvP,Kit
Anaconda Kit,AeroAnaconda,/tp @s -14.5 49 -35.5 0 0,,PvP,Kit
Anarchy Kit by Chargesx,Chargesx,/tp @s -15.5 49 -35.5 0 0,,PvP,Kit
Ancient Shulker,Trelno,/tp @s -16.5 49 -35.5 0 0,,PvP,Kit
Angel Crate,Emphacks,/tp @s -17.5 49 -35.5 0 0,,PvP,Kit
Angel Secret Kit,GioVarquez,/tp @s -18.5 49 -35.5 0 0,,PvP,Kit
Angels of Death Kit,christophermav,/tp @s -19.5 49 -35.5 0 0,,PvP,Kit
Apex Set (Diamond),Shyrix,/tp @s -20.5 49 -35.5 0 0,,PvP,Kit
Apex Set,Shyrix,/tp @s -21.5 49 -35.5 0 0,,PvP,Kit
Apex Shtuff,Shyrix,/tp @s -22.5 49 -35.5 0 0,,PvP,Kit
Apex V2,Shyrix,/tp @s -23.5 49 -35.5 0 0,,PvP,Kit
AppleKit,Emphacks,/tp @s -24.5 49 -35.5 0 0,,PvP,Kit
Archer Kit,Unknown Author,/tp @s -25.5 49 -35.5 0 0,,PvP,Kit
Arctic Set,Unknown Author,/tp @s -26.5 49 -35.5 0 0,,PvP,Kit
Armada Kit,4ngeloid,/tp @s -27.5 49 -35.5 0 0,,PvP,Kit
Aronix Kit,UnknownCreature_,/tp @s -28.5 49 -35.5 0 0,,PvP,Kit
Astral Infection,Fleshly,/tp @s -29.5 49 -35.5 0 0,,PvP,Kit
Astronex Kit,Unknown Author,/tp @s -30.5 49 -35.5 0 0,,PvP,Kit
Astros Kit,"MeMo_R3Kt, Hypixel",/tp @s -13.5 47 -35.5 0 0,,PvP,Kit
AU!EnderKirby of the Supernovas,AUCreator,/tp @s -14.5 47 -35.5 0 0,,PvP,Kit
AUCreator + Kirby10bc,"AUCreator, Kirby10bc",/tp @s -15.5 47 -35.5 0 0,,PvP,Kit
Avery's God Kit Bundle,Unknown Author,/tp @s -16.5 47 -35.5 0 0,,PvP,Kit
BananaTheGamerYt And ItzSergioCobra's God Kit,"BananaTheGamerYt, ItzSergioCobra",/tp @s -17.5 47 -35.5 0 0,,PvP,Kit
Barrel Collection,FridiLT864,/tp @s -18.5 47 -35.5 0 0,,PvP,Kit
Baseline Kit v1,MrT1_,/tp @s -19.5 47 -35.5 0 0,,PvP,Kit
Beast,GioVarquez,/tp @s -20.5 47 -35.5 0 0,,PvP,Kit
BeepBeepImmaSheep Crate,Emphacks,/tp @s -21.5 47 -35.5 0 0,,PvP,Kit
Berry kit,Unknown Author,/tp @s -22.5 47 -35.5 0 0,,PvP,Kit
BetterAlexTheOOF's Op Item Kit,AlexTheOOF,/tp @s -23.5 47 -35.5 0 0,,PvP,Kit
Binary Kit Leaked at cum mart,Unknown Author,/tp @s -24.5 47 -35.5 0 0,,PvP,Kit
Birb Kit,SuperRyn,/tp @s -25.5 47 -35.5 0 0,,PvP,Kit
Blaze Refund,Unknown Author,/tp @s -26.5 47 -35.5 0 0,,PvP,Kit
Blood Drenched Kit,Gl1tch1x,/tp @s -27.5 47 -35.5 0 0,,PvP,Kit
Blue Kit,Unknown Author,/tp @s -28.5 47 -35.5 0 0,,PvP,Kit
Blues kit of madness,Unknown Author,/tp @s -29.5 47 -35.5 0 0,,PvP,Kit
Bockanator's Kit,Bockanator,/tp @s -30.5 47 -35.5 0 0,,PvP,Kit
Boredum Kit,Yurni,/tp @s -13.5 45 -35.5 0 0,,PvP,Kit
Brims Main Kit,BrimGrace,/tp @s -14.5 45 -35.5 0 0,,PvP,Kit
Bryguy's Kit,scider,/tp @s -15.5 45 -35.5 0 0,,PvP,Kit
BSOD Kit,TFTWPhoenix,/tp @s -16.5 45 -35.5 0 0,,PvP,Kit
C0D0 Kit,Unknown Author,/tp @s -17.5 45 -35.5 0 0,,PvP,Kit
C0SMOS,GioVarquez,/tp @s -18.5 45 -35.5 0 0,,PvP,Kit
C0SMOS Ultimate Kit EV2,IiFrozenFireIi,/tp @s -19.5 45 -35.5 0 0,,PvP,Kit
Cacti Box,Unknown Author,/tp @s -20.5 45 -35.5 0 0,,PvP,Kit
Cahsews Kit Of Random SHIT,zggl,/tp @s -21.5 45 -35.5 0 0,,PvP,Kit
CAMO KIT,Unknown Author,/tp @s -22.5 45 -35.5 0 0,,PvP,Kit
Cat Kit,Unknown Author,/tp @s -23.5 45 -35.5 0 0,,PvP,Kit
Cheez-It Kit,DarkerThanAfter,/tp @s -24.5 45 -35.5 0 0,,PvP,Kit
Chest of The Arcane Titans,"Katsuo, xXezboyzeXx",/tp @s -25.5 45 -35.5 0 0,,PvP,Kit
Chest of The Arcane Titans [ REVAMPED ],Katsuo,/tp @s -26.5 45 -35.5 0 0,,PvP,Kit
Chest of The Golden King, EzBoy,/tp @s -27.5 45 -35.5 0 0,,PvP,Kit
Chewbacca Kit,Unknown Author,/tp @s -28.5 45 -35.5 0 0,,PvP,Kit
Chungus PvP Kit,"OperatorTheDope, DashTheDevilDog",/tp @s -29.5 45 -35.5 0 0,,PvP,Kit
клан BORN,Ivan_Groznyj,/tp @s -30.5 45 -35.5 0 0,,PvP,Kit
client.onReady(proceedExecution),Shdow,/tp @s -13.5 43 -35.5 0 0,,PvP,Kit
Cloud Armor,Aiprs,/tp @s -14.5 43 -35.5 0 0,,PvP,Kit
COGGNIZANTS CARBON KIT,coggnizant,/tp @s -15.5 43 -35.5 0 0,,PvP,Kit
CompactKit,Enchilada12,/tp @s -16.5 43 -35.5 0 0,Archivist Pick,PvP,Kit
CORE's items,CoreplaysMC,/tp @s -17.5 43 -35.5 0 0,,PvP,Kit
CORP Shulker,NotPetya,/tp @s -18.5 43 -35.5 0 0,,PvP,Kit
Cosmic HER0 Pack,Suitch,/tp @s -19.5 43 -35.5 0 0,,PvP,Kit
Cosmic HER0 MK2 Kit,Suitch,/tp @s -20.5 43 -35.5 0 0,,PvP,Kit
Creative Box,DESTROYER_CMT,/tp @s -21.5 43 -35.5 0 0,,PvP,Kit
Crusade Man Containment Unit,Unknown Author,/tp @s -22.5 43 -35.5 0 0,,PvP,Kit
Crystal PvP,ImproperIssues,/tp @s -23.5 43 -35.5 0 0,Archivist Pick,PvP,Kit
Cum Kit,Yurni,/tp @s -24.5 43 -35.5 0 0,,PvP,Kit
Cutiee Kits v1 - ORIGINAL!,IndoGamer262,/tp @s -25.5 43 -35.5 0 0,,PvP,Kit
D3v's Stacked Kit,D3v4tm05ph3r3,/tp @s -26.5 43 -35.5 0 0,,PvP,Kit
Dark Companion Kit,Katsuo,/tp @s -27.5 43 -35.5 0 0,,PvP,Kit
DA ROOOOOOOOOCK,Unknown Author,/tp @s -28.5 43 -35.5 0 0,,PvP,Kit
Darth Vader Kit,Unknown Author,/tp @s -29.5 43 -35.5 0 0,,PvP,Kit
Dash's Revenge Kit,DashTheDevilDog,/tp @s -30.5 43 -35.5 0 0,,PvP,Kit
Death'sKIT,Emphacks,/tp @s -13.5 41 -35.5 0 0,,PvP,Kit
DDN-05 Chrono Lad Data Box,DashTheDevilDog,/tp @s -14.5 41 -35.5 0 0,,PvP,Kit
DDN-06 Air Lad Databox,DashTheDevilDog,/tp @s -15.5 41 -35.5 0 0,,PvP,Kit
DDN-07 Electro Lad Data Box,DashTheDevilDog,/tp @s -16.5 41 -35.5 0 0,,PvP,Kit
Dat Cats Steak House Merch Box,Dat_Cat,/tp @s -17.5 41 -35.5 0 0,,PvP,Kit
Debris Kit,Tom__uWu,/tp @s -18.5 41 -35.5 0 0,,PvP,Kit
demondemondemon,Unknown Author,/tp @s -19.5 41 -35.5 0 0,,PvP,Kit
Demon Kit 2.0,Unknown Author,/tp @s -20.5 41 -35.5 0 0,,PvP,Kit
Demon Kit 3.0,Unknown Author,/tp @s -21.5 41 -35.5 0 0,,PvP,Kit
Deo's Drip,Unknown Author,/tp @s -22.5 41 -35.5 0 0,,PvP,Kit
Depression Kit,Emphacks,/tp @s -23.5 41 -35.5 0 0,,PvP,Kit
DevTool Kit,NSKC7,/tp @s -24.5 41 -35.5 0 0,,PvP,Kit
Dew Power,Unknown Author,/tp @s -25.5 41 -35.5 0 0,,PvP,Kit
Disco Shulker Box [Unlocked],"infun, steve881",/tp @s -26.5 41 -35.5 0 0,,PvP,Kit
dogeiscuts lowercase kit,DogeisCut,/tp @s -27.5 41 -35.5 0 0,,PvP,Kit
DogeisCut's Stuff,DogeisCut,/tp @s -28.5 41 -35.5 0 0,,PvP,Kit
DogeisCut's Vaporeon Kit,DogeisCut,/tp @s -29.5 41 -35.5 0 0,,PvP,Kit
Dominating,Unknown Author,/tp @s -30.5 41 -35.5 0 0,,PvP,Kit
Doomsday Kit,Unknown Author,/tp @s -30.5 51 -35.5 90 0,,PvP,Kit
Draconic Containment Unit,Unknown Author,/tp @s -30.5 51 -36.5 90 0,,PvP,Kit
Draconic Gear,Unknown Author,/tp @s -30.5 51 -37.5 90 0,,PvP,Kit
Dragon Kit,Unknown Author,/tp @s -30.5 51 -38.5 90 0,,PvP,Kit
Dragon PVP Kit,Unknown Author,/tp @s -30.5 51 -39.5 90 0,,PvP,Kit
DropperKit,Unknown Author,/tp @s -30.5 51 -40.5 90 0,,PvP,Kit
Dungeon Kit,scider,/tp @s -30.5 51 -41.5 90 0,,PvP,Kit
Duo Kit,Unknown Author,/tp @s -30.5 51 -42.5 90 0,,PvP,Kit
Earthworm1's Titanium Kit,Earthworm1,/tp @s -30.5 51 -43.5 90 0,,PvP,Kit
Egirl Kit,Yurni,/tp @s -30.5 49 -35.5 90 0,,PvP,Kit
elementary Breeze v2,iceyou,/tp @s -30.5 49 -36.5 90 0,Archivist Pick,PvP,Kit
Element Box,Unknown Author,/tp @s -30.5 49 -37.5 90 0,,PvP,Kit
Ember Kit,SuperRyn,/tp @s -30.5 49 -38.5 90 0,,PvP,Kit
EMP Kit,Unknown Author,/tp @s -30.5 49 -39.5 90 0,,PvP,Kit
Emp Shulker Box,Emphacks,/tp @s -30.5 49 -40.5 90 0,,PvP,Kit
Ender Kit,EnderMomandNate,/tp @s -30.5 49 -41.5 90 0,,PvP,Kit
Endermatter Kits,Unknown Author,/tp @s -30.5 49 -42.5 90 0,,PvP,Kit
Ender Soldier Kit, EnderMomandNate,/tp @s -30.5 49 -43.5 90 0,,PvP,Kit
Enders Revenge,Unknown Author,/tp @s -30.5 47 -35.5 90 0,,PvP,Kit
End Master Set,Unknown Author,/tp @s -30.5 47 -36.5 90 0,,PvP,Kit
Energy Kit,Unknown Author,/tp @s -30.5 47 -37.5 90 0,,PvP,Kit
ENFORCED,Unknown Author,/tp @s -30.5 47 -38.5 90 0,,PvP,Kit
Equalizer Kit,Unknown Author,/tp @s -30.5 47 -39.5 90 0,,PvP,Kit
Ernest's Follower's PvP Set,Daddy_Salt,/tp @s -30.5 47 -40.5 90 0,,PvP,Kit
error kit,italic,/tp @s -30.5 47 -41.5 90 0,,PvP,Kit
Esckey's Essentials,esckey123,/tp @s -30.5 47 -42.5 90 0,Archivist Pick,PvP,Kit
$ESO PA$,Unknown Author,/tp @s -30.5 47 -43.5 90 0,,PvP,Kit
Evolutionary Kit,Emphacks,/tp @s -30.5 45 -35.5 90 0,,PvP,Kit
Extended-Ultra-Violet Box,greensilver,/tp @s -30.5 45 -37.5 90 0,,PvP,Kit
Fallen Kit,GioVarquez,/tp @s -30.5 45 -38.5 90 0,,PvP,Kit
FBI Agent Kit,Enchilada12,/tp @s -30.5 45 -39.5 90 0,,PvP,Kit
FBI Kit,OperatorTheDope,/tp @s -30.5 45 -40.5 90 0,,PvP,Kit
FEMBOY KIT V1 Extra Cum Deluxe,nohoeslolol,/tp @s -30.5 45 -41.5 90 0,,PvP,Kit
FFC0C KIT OF PINK AWESOMENES,Wecklerie,/tp @s -30.5 45 -42.5 90 0,,PvP,Kit
File.exeSet,FileExtension,/tp @s -30.5 45 -43.5 90 0,,PvP,Kit
Files Armor.bat,File_EXE,/tp @s -30.5 43 -35.5 90 0,,PvP,Kit
FINALLY FEMBOY KIT,nohoeslolol,/tp @s -30.5 43 -36.5 90 0,,PvP,Kit
Fire Infused Kit,Devils_Detonator,/tp @s -30.5 43 -37.5 90 0,,PvP,Kit
Fire's STUFF,Unknown Author,/tp @s -30.5 43 -38.5 90 0,,PvP,Kit
Flopkit,z32k,/tp @s -30.5 43 -39.5 90 0,,PvP,Kit
FNAF GUY PVP KIT,FNAFGuy123,/tp @s -30.5 43 -40.5 90 0,,PvP,Kit
Friction Shulker Box [Unlocked],Emphacks,/tp @s -30.5 43 -41.5 90 0,,PvP,Kit
Frostbitten Crate,FileExtension,/tp @s -30.5 43 -42.5 90 0,,PvP,Kit
FrozenFire DE Kit,Unknown Author,/tp @s -30.5 43 -43.5 90 0,,PvP,Kit
Furk's Kit,Furk_XV,/tp @s -30.5 41 -35.5 90 0,,PvP,Kit
Galactic Kit,Unknown Author,/tp @s -30.5 41 -36.5 0 0,,PvP,Kit
Galaxy Kit,Troube,/tp @s -30.5 41 -37.5 0 0,,PvP,Kit
Game Cube Kit,DarkerThanAfter,/tp @s -30.5 41 -38.5 0 0,,PvP,Kit
Generation Topaz Box noitareneG,Unknown Author,/tp @s -30.5 41 -39.5 0 0,,PvP,Kit
Ghostghxx KIT V2,Ghostghxx,/tp @s -30.5 41 -40.5 0 0,,PvP,Kit
GioVarquez Item Collection,GioVarquez,/tp @s -30.5 41 -41.5 0 0,,PvP,Kit
God Box,Unknown Author,/tp @s -30.5 41 -42.5 0 0,,PvP,Kit
